date,close__晶澳科技,close__国轩高科,close__智飞生物,close__三花智控,close__圣邦股份,close__大秦铁路,close__华能水电,close__上港集团,close__皖通高速,close__建发股份,peTTM__晶澳科技,peTTM__国轩高科,peTTM__智飞生物,peTTM__三花智控,peTTM__圣邦股份,peTTM__大秦铁路,peTTM__华能水电,peTTM__上港集团,peTTM__皖通高速,peTTM__建发股份
2024-02-05,15.42416766,16.5919775,45.5371367,19.7711647,48.8739789,6.75387537,8.55359784,5.08188954,12.01788342,7.51507118,5.883163,65.835963,13.403658,24.400662,113.263928,10.748375,21.124719,9.704689,13.299608,1.85641
2024-02-06,16.57277589,17.8515,49.526213,21.37818055,51.13028935,6.71799821,8.68845186,5.20288691,12.35043054,7.87909508,6.32125,70.833672,14.577825,26.383967,117.93546,10.691279,22.760634,9.935753,13.667621,1.946333
2024-02-07,16.51486287,18.0597675,50.03689185,22.09890281,51.08439829,6.75387537,8.64028971,5.0260446,12.39661764,8.14604594,6.29916,71.660065,14.728141,27.273449,117.829609,10.748375,22.634467,9.598044,13.718734,2.012276
2024-02-08,16.99747137,18.466385,49.526213,22.7904066,54.12850527,6.66418247,8.54396541,4.9329697,12.07330794,8.19458246,6.483239,73.273499,14.577825,28.126871,124.851047,10.605634,22.382132,9.420303,13.360943,2.024266
2024-02-19,17.14225392,18.6548175,51.82908555,21.5242729,53.70783722,6.80769111,8.88110046,5.05396707,12.69221508,8.19458246,6.538462,74.021187,15.255665,26.564267,123.880748,10.83402,23.265305,9.651367,14.045858,2.024266
2024-02-20,16.92025401,18.506055,51.260594,21.76776015,53.17244152,6.97810762,9.01595448,5.17496444,13.32959706,8.27547666,6.453786,73.430907,15.088332,26.864768,122.645821,11.105227,23.618574,9.882431,14.751217,2.044249
2024-02-21,17.15190609,18.6349825,51.453303,22.72223017,54.01377762,6.92429188,8.88110046,5.12842699,13.01552478,8.30783434,6.542144,73.942483,15.145056,28.042731,124.58642,11.019582,23.265305,9.79356,14.403649,2.052242
2024-02-22,17.59590591,18.8134975,50.67283155,22.7904066,53.3865998,6.95119975,9.0544842,5.16565695,13.08942414,8.34019202,6.711496,74.65082,14.915327,28.126871,123.139792,11.062405,23.719508,9.864657,14.48543,2.060235
2024-02-23,17.99164488,19.16061,51.1064268,24.30002755,52.33875393,6.87944543,9.21823551,5.17496444,12.87696348,8.29974492,6.86244,76.028142,15.042954,29.989976,120.722865,10.948212,24.148478,9.882431,14.25031,2.050244
2024-02-26,17.70207978,19.0118475,51.40512575,24.49481735,51.86454631,6.8166604,9.00632205,4.97950715,12.31348086,8.2107613,6.751993,75.437861,15.130875,30.230377,119.629073,10.848294,23.593341,9.509174,13.626731,2.028263
2024-02-27,18.01094922,19.2697025,52.0699718,24.9330944,54.48033673,6.70005963,8.97742476,5.08188954,12.20263182,8.29974492,6.870896,76.461014,15.326569,30.771278,125.66257,10.662731,23.51764,9.704689,13.50406,2.050244
2024-02-28,17.44147119,18.8531675,50.9908014,23.61826325,51.67333356,6.66418247,8.99668962,5.03535209,12.22110666,8.26738724,6.653649,74.808228,15.00892,29.148574,119.188028,10.605634,23.568107,9.615819,13.524505,2.042251
2024-02-29,18.09781875,19.6267325,51.54002205,24.27080908,54.10555974,6.69109034,8.93889504,5.05396707,12.41509248,8.42108622,6.904036,77.877687,15.170581,29.953916,124.798122,10.648457,23.416706,9.651367,13.73918,2.080218
2024-03-01,18.21364479,19.71599,51.0871559,24.58247276,55.79588045,6.67315176,8.88110046,5.0260446,12.46127958,8.34828144,6.948221,78.231856,15.037282,30.338557,128.69696,10.619908,23.265305,9.598044,13.790293,2.062233
2024-03-04,18.15573177,19.55731,52.44575435,25.322674,55.00043541,6.69109034,9.26639766,4.98881464,12.49822926,8.13795652,6.926128,77.602223,15.437179,31.252079,126.862213,10.648457,24.274646,9.526948,13.831183,2.010278
2024-03-05,17.62486242,19.259785,51.40512575,24.30976704,54.96984137,6.76284466,9.37235439,5.03535209,13.05247446,8.04088348,6.72361,76.421662,15.130875,30.001996,126.791645,10.762649,24.552214,9.615819,14.444539,1.986298
2024-03-06,18.29086215,19.5870625,51.15460405,24.28054857,54.51857928,6.66418247,9.43014897,5.00742962,12.85848864,8.0489729,6.977679,77.720279,15.057135,29.965936,125.750779,10.605634,24.703615,9.562496,14.229865,1.988297
2024-03-07,17.61521025,19.1903625,49.4684003,23.62800274,53.53957,6.65521318,9.47831112,5.00742962,13.1171364,8.0085258,6.719928,76.146198,14.560808,29.160594,123.492628,10.59136,24.829783,9.562496,14.516098,1.978305
2024-03-08,18.89894886,19.0515175,48.0808955,24.06627979,55.06162349,6.67315176,9.56500299,5.00742962,13.61595708,8.01661522,7.209654,75.595269,14.152402,29.701495,127.003347,10.619908,25.056885,9.562496,15.068118,1.980304
2024-03-11,19.21747047,20.4002975,49.0444405,24.59221225,55.30637581,6.62830531,9.37235439,4.97019966,13.20027318,8.23502956,7.331165,80.947147,14.436017,30.350577,127.567885,10.548538,24.552214,9.491399,14.608101,2.034257
2024-03-12,19.2078183,20.3011225,52.3012226,24.84543899,56.1400634,6.52067383,9.11227878,4.89573974,12.64602798,8.3321026,7.327483,80.553626,15.394637,30.663098,129.490841,10.377249,23.870909,9.349206,13.994745,2.058237
2024-03-13,18.89894886,20.5788125,51.646012,24.85517848,55.29107879,6.51170454,9.06411663,4.88643225,12.7476396,8.18649304,7.209654,81.655483,15.201779,30.675118,127.532601,10.362975,23.744742,9.331432,14.107193,2.022268
2024-03-14,18.61903593,20.172195,49.84418285,24.57273327,53.9219955,6.55655099,9.09301392,4.90504723,12.932388,8.36446028,7.102872,80.04205,14.671418,30.326537,124.374718,10.434346,23.820442,9.36698,14.311645,2.06623
2024-03-15,18.60938376,19.973845,48.78428335,24.92335491,54.80157415,6.57448957,9.14117607,4.90504723,12.67374024,8.44535448,7.09919,79.255009,14.359441,30.759258,126.403526,10.462894,23.94661,9.36698,14.025413,2.086213
2024-03-18,18.9182532,20.5788125,48.6012098,24.96231287,55.30637581,6.56552028,9.09301392,4.92366221,12.62755314,8.36446028,7.217018,81.655483,14.305554,30.807338,127.567885,10.44862,23.820442,9.402529,13.9743,2.06623
2024-03-19,18.60938376,20.4994725,48.562668,24.55325429,55.64291025,6.52067383,9.0544842,4.89573974,12.41509248,8.28356608,7.09919,81.340667,14.29421,30.302497,128.344124,10.377249,23.719508,9.349206,13.73918,2.046247
2024-03-20,18.71555763,21.0151825,47.5413103,24.07601928,54.41150014,6.57448957,9.08338149,4.92366221,12.40585506,8.26738724,7.139693,83.386973,13.993578,29.713515,125.503794,10.462894,23.795209,9.402529,13.728957,2.042251
2024-03-21,18.1460796,20.78708,46.64521345,23.89096897,53.68489169,6.60139744,9.06411663,4.90504723,12.45204216,8.22694014,6.922446,82.481876,13.729815,29.485135,123.827822,10.505716,23.744742,9.36698,13.78007,2.032259
2024-03-22,17.31599298,20.0829375,45.5949494,23.90070846,52.47642711,6.55655099,8.9581599,4.87712476,12.4243299,8.14604594,6.605781,79.687881,13.420675,29.497155,121.040417,10.434346,23.467173,9.313658,13.749402,2.012276
2024-03-25,17.0843409,19.418465,44.8626552,23.78383458,50.67137875,6.55655099,8.9581599,4.92366221,12.59984088,8.23502956,6.51741,77.051295,13.205127,29.352915,116.876952,10.434346,23.467173,9.402529,13.943632,2.034257
2024-03-26,17.42216685,20.2317,45.23843775,23.48191039,50.4036809,6.53861241,8.96779233,4.92366221,12.76611444,8.2916555,6.646285,80.278162,13.315737,28.980294,116.259488,10.405797,23.492407,9.402529,14.127639,2.048245
2024-03-27,16.67894976,19.4085475,43.7834848,22.55665884,49.04224612,6.57448957,9.06411663,4.91435472,12.7014525,8.2107613,6.362759,77.011943,12.887478,27.838391,113.119247,10.462894,23.744742,9.384755,14.05608,2.028263
2024-03-28,16.78512363,20.1424425,43.61968215,23.38451549,49.22581036,6.56552028,9.04485177,4.94227719,12.7476396,8.2107613,6.403263,79.923993,12.839263,28.860093,113.542651,10.44862,23.694275,9.438077,14.107193,2.028263
2024-03-29,16.86234099,20.0829375,43.3017123,23.11180977,49.73061202,6.60139744,9.22786794,4.99812213,12.80306412,8.29974492,6.43272,79.687881,12.74567,28.523532,114.70701,10.505716,24.173712,9.544722,13.848989,2.050244
2024-04-01,17.26773213,20.4201325,44.9397388,23.55982631,49.9447703,6.61036673,9.10264635,5.0260446,12.7014525,8.31592376,6.58737,81.025851,13.227816,29.076454,115.20098,10.51999,23.845676,9.523068,13.739076,2.05424
2024-04-02,17.22912345,21.30279,44.32307,22.7904066,48.80514231,6.62830531,9.11227878,5.09119703,12.78458928,8.34828144,6.558548,84.528182,13.046303,28.126871,112.572351,11.290897,23.870909,9.646516,13.829005,2.062233
2024-04-03,17.33529732,20.70774,43.61968215,21.72880219,48.1091279,6.64624389,9.11227878,5.19357942,12.85848864,8.42108622,6.598965,82.16706,12.839263,26.816688,110.966947,11.321454,23.870909,9.840504,13.908941,2.080218
2024-04-08,16.33147164,19.8647525,42.46342815,21.18339075,46.46469825,6.69109034,9.30492738,5.19357942,12.89543832,8.50198042,6.216842,78.822136,12.498925,26.143566,107.173959,11.397848,24.37558,9.840504,13.94891,2.100201
2024-04-09,16.62103674,20.8366675,43.4558795,21.31000412,47.30603435,6.64624389,9.18933822,5.22150189,12.8862009,8.43726506,6.32707,82.678636,12.791049,26.299827,109.114558,11.321454,24.072778,9.89341,13.938918,2.084215
2024-04-10,16.0226022,20.6383175,42.23217735,20.88146656,45.91400553,6.67315176,9.29529495,5.22150189,13.03399962,8.4129968,6.099266,81.891595,12.430857,25.770945,105.903749,11.36729,24.350346,9.89341,14.09879,2.07822
2024-04-11,15.89712399,20.2416175,40.5074318,20.65745829,45.56982258,6.73593679,9.41088411,5.22150189,13.13561124,8.51006984,6.051501,80.317514,11.923186,25.494485,105.109868,11.474241,24.653148,9.89341,14.208703,2.102199
2024-04-12,15.43381983,19.3688775,39.4475323,20.32631563,47.02303948,6.73593679,9.44941383,5.24942436,13.17256092,8.50198042,5.875136,76.854534,11.581164,25.085804,108.461811,11.474241,24.754083,9.946316,14.248671,2.100201
2024-04-15,15.42416766,19.0118475,39.97748205,20.9399035,46.8853663,6.80769111,9.59390028,5.34249926,13.59748224,8.01661522,5.871462,75.437861,11.736749,25.843066,108.144259,11.59647,25.132585,10.122669,14.708306,1.980304
2024-04-16,14.73886359,18.01018,40.3532646,20.23866022,46.14346083,6.71799821,9.55537056,5.29596181,13.78223064,8.40490738,5.61059,71.463305,11.847073,24.977623,106.433004,11.443683,25.031651,10.034492,14.908147,2.381891
2024-04-17,15.00912435,18.704405,40.57487995,20.3555341,47.60432624,6.84356827,9.60353271,5.40765169,14.21638938,8.4129968,5.713469,74.217948,11.912135,25.121864,109.802588,11.657584,25.157819,10.246116,15.377774,2.384184
2024-04-18,14.89329831,18.80358,39.82331485,21.08599585,48.1091279,6.78078324,9.50720841,5.37042173,13.58824482,8.2107613,5.669378,74.611468,11.691488,26.023366,110.966947,11.550634,24.905484,10.175575,14.698314,2.326872
