date,code,open,high,low,close,volume,name
2023-02-03,sz.000333,46.4355714000,46.6517519000,45.7092049200,46.0983298200,20830020,美的集团
2023-02-06,sz.000333,45.6659688200,45.6659688200,44.1699997600,44.3170025000,42185653,美的集团
2023-02-07,sz.000333,44.4121219200,44.7061274000,44.1872942000,44.5331830000,20900869,美的集团
2023-02-08,sz.000333,44.4380635800,44.5331830000,43.9797609200,44.1094692200,19101762,美的集团
2023-02-09,sz.000333,43.9278776000,44.7320690600,43.6598137800,44.5591246600,22738253,美的集团
2023-02-10,sz.000333,44.4034747000,44.7493635000,44.3515913800,44.6369496400,13988866,美的集团
2023-02-13,sz.000333,44.5331830000,45.4670827600,44.1267636600,45.3460216800,30639111,美的集团
2023-02-14,sz.000333,45.3546689000,45.5276133000,44.8012468200,45.1471356200,21437513,美的集团
2023-02-15,sz.000333,45.1384884000,45.1471356200,44.2564719600,44.4034747000,17948800,美的集团
2023-02-16,sz.000333,44.1872942000,44.7493635000,43.9278776000,44.3429441600,21698675,美的集团
2023-02-17,sz.000333,44.1440581000,44.5331830000,44.1181164400,44.4294163600,15806609,美的集团
2023-02-20,sz.000333,44.5331830000,46.4269241800,44.1959414200,46.0896826000,38313606,美的集团
2023-02-21,sz.000333,46.0896826000,46.5220436000,45.5967910600,46.2972158800,25649338,美的集团
2023-02-22,sz.000333,45.8302660000,45.9859159600,45.3200800200,45.6400271600,22911545,美的集团
2023-02-23,sz.000333,45.6486743800,46.5912213600,45.6486743800,46.1502131400,24010720,美的集团
2023-02-24,sz.000333,45.9859159600,46.1675075800,45.6746160400,45.8129715600,16927779,美的集团
2023-02-27,sz.000333,45.4843772000,45.8129715600,44.8444829200,45.3114328000,16947143,美的集团
2023-02-28,sz.000333,44.9828384400,45.9513270800,44.9828384400,45.3633161200,19404536,美的集团
2023-03-01,sz.000333,45.4065522200,47.5510627800,45.4065522200,47.2311156400,43297470,美的集团
2023-03-02,sz.000333,47.2138212000,48.1477209600,46.8246963000,47.4300017000,25548979,美的集团
2023-03-03,sz.000333,47.7758905000,48.2860764800,47.2657045200,47.7326544000,19741500,美的集团
2023-03-06,sz.000333,47.4213544800,47.5597100000,46.5306908200,46.5479852600,25935684,美的集团
2023-03-07,sz.000333,46.5566324800,47.0149351400,45.5708494000,45.7092049200,19473791,美的集团
2023-03-08,sz.000333,45.5276133000,45.6573216000,45.0260745400,45.2163133800,14494798,美的集团
2023-03-09,sz.000333,45.2163133800,46.0464465000,45.1990189400,45.5708494000,13013102,美的集团
2023-03-10,sz.000333,45.1730772800,45.3979050000,44.1181164400,44.2305303000,19213389,美的集团
2023-03-13,sz.000333,44.1094692200,45.1730772800,44.1008220000,45.0174273200,19483658,美的集团
2023-03-14,sz.000333,44.7234218400,44.8877190200,43.8414054000,44.2305303000,16501073,美的集团
2023-03-15,sz.000333,44.5331830000,44.6455968600,43.5819888000,43.6338721200,20945617,美的集团
2023-03-16,sz.000333,43.3052777600,43.5733415800,42.9334473000,43.2706888800,12181953,美的集团
2023-03-17,sz.000333,43.6684610000,44.2564719600,43.2879833200,43.5214582600,20123077,美的集团
2023-03-20,sz.000333,43.3917499600,44.2132358600,43.3225722000,43.6165776800,16301524,美的集团
2023-03-21,sz.000333,43.7116971000,45.0866050800,43.7116971000,45.0520162000,23146646,美的集团
2023-03-22,sz.000333,45.1384884000,45.1990189400,44.3602386000,44.7061274000,13554248,美的集团
2023-03-23,sz.000333,44.5158885600,44.9655440000,44.4380635800,44.8098940400,12379007,美的集团
2023-03-24,sz.000333,44.8098940400,45.1125467400,44.6542440800,45.0433689800,13277563,美的集团
2023-03-27,sz.000333,45.0433689800,45.3633161200,44.7061274000,44.8358357000,12768345,美的集团
2023-03-28,sz.000333,44.7061274000,45.0347217600,44.1527053200,44.1786469800,12867893,美的集团
2023-03-29,sz.000333,44.4294163600,44.5937135400,44.1872942000,44.4467108000,12803042,美的集团
2023-03-30,sz.000333,44.4034747000,47.3867656000,44.3602386000,47.1014073400,57157412,美的集团
2023-03-31,sz.000333,46.7901074200,47.2311156400,46.1415659200,46.5306908200,27788750,美的集团
2023-04-03,sz.000333,47.5597100000,47.9055988000,46.8679324000,47.2916461800,37391478,美的集团
2023-04-04,sz.000333,47.1273490000,47.3175878400,46.4788075000,47.2397628600,17989125,美的集团
2023-04-06,sz.000333,47.0581712400,47.5597100000,46.4788075000,46.7122824400,15243479,美的集团
2023-04-07,sz.000333,46.6171630200,47.7931849400,46.6171630200,47.2829989600,15864067,美的集团
2023-04-10,sz.000333,47.0408768000,47.6115933200,46.7036352200,47.3521767200,15649255,美的集团
