date,close,preclose,volume,pctChg,tradestatus
2023-08-28,87.3368748000,88.3072845200,9151826,-1.098900,1
2023-08-29,89.3569113600,87.3368748000,8006416,2.312900,1
2023-08-30,90.8125259400,89.3569113600,8449665,1.629000,1
2023-08-31,91.1194922800,90.8125259400,4761377,0.338000,1
2023-09-01,89.4856391800,91.1194922800,4120223,-1.793100,1
2023-09-04,91.5452843000,89.4856391800,5254453,2.301600,1
2023-09-05,91.8819570600,91.5452843000,5004796,0.367800,1
2023-09-06,93.1395288400,91.8819570600,5664320,1.368700,1
2023-09-07,92.2384341000,93.1395288400,4747503,-0.967500,1
2023-09-08,91.4561650400,92.2384341000,2957536,-0.848100,1
2023-09-11,92.0899020000,91.4561650400,3670519,0.692900,1
2023-09-12,92.0403913000,92.0899020000,2366537,-0.053800,1
2023-09-13,92.6642261200,92.0403913000,5707565,0.677800,1
2023-09-14,90.5847767200,92.6642261200,4535158,-2.244100,1
2023-09-15,92.5454004400,90.5847767200,7049284,2.164400,1
2023-09-18,93.8722872000,92.5454004400,7871799,1.433800,1
2023-09-19,95.0605440000,93.8722872000,8458235,1.265800,1
2023-09-20,92.6642261200,95.0605440000,4865540,-2.520800,1
2023-09-21,91.0996880000,92.6642261200,4228777,-1.688400,1
2023-09-22,95.2486846600,91.0996880000,7130079,4.554300,1
2023-09-25,93.9713086000,95.2486846600,6089264,-1.341100,1
2023-09-26,92.6147154200,93.9713086000,4177033,-1.443600,1
2023-09-27,92.0700977200,92.6147154200,4576824,-0.588000,1
2023-09-28,92.1493148400,92.0700977200,4567918,0.086000,1
