name,pubDate,roe
农业银行,2018-03-27,0.140612
万科A,2018-03-27,0.227952
南方航空,2018-03-27,0.127491
招商蛇口,2018-03-27,0.195841
复星医药,2018-03-27,0.131511
士兰微,2018-03-27,0.066304
中信银行,2018-03-27,0.109303
国投电力,2018-03-27,0.109134
光大证券,2018-03-27,0.062993
双汇发展,2018-03-27,0.299745
青岛啤酒,2018-03-28,0.075496
招商轮船,2018-03-28,0.039405
贵州茅台,2018-03-28,0.329542
荣盛石化,2018-03-28,0.148626
比亚迪,2018-03-28,0.076538
生益科技,2018-03-28,0.194248
上港集团,2018-03-28,0.177196
建设银行,2018-03-28,0.144365
招商证券,2018-03-28,0.083217
浪潮信息,2018-03-28,0.076195
工商银行,2018-03-28,0.13963
中国国航,2018-03-28,0.093425
光大银行,2018-03-29,0.113632
华域汽车,2018-03-29,0.165127
科大讯飞,2018-03-29,0.058823
中国银河,2018-03-29,0.064991
华泰证券,2018-03-29,0.108059
中国中车,2018-03-29,0.095387
潍柴动力,2018-03-29,0.203301
隆基绿能,2018-03-29,0.293523
